In / Out of Set Character,Character ,Movie Name,Measure Names,Movie,Max line,Min line,Runtime (mins),Runtime (mins),Screen Time (in mins),Total Screen Time
In,▶ Harry Potter,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Harry Potter,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Harry Potter,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Harry Potter,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Harry Potter,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Harry Potter,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Harry Potter,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Harry Potter,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Ron Weasley,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Ron Weasley,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Ron Weasley,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Ron Weasley,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Ron Weasley,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Ron Weasley,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Ron Weasley,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Ron Weasley,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Hermione Granger,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Hermione Granger,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Hermione Granger,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Hermione Granger,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Hermione Granger,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Hermione Granger,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Hermione Granger,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Hermione Granger,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Professor Severus Snape,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Professor Severus Snape,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Professor Severus Snape,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Professor Severus Snape,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Professor Severus Snape,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Professor Severus Snape,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Professor Severus Snape,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Professor Severus Snape,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Draco Malfoy,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Draco Malfoy,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Draco Malfoy,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Draco Malfoy,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Draco Malfoy,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Draco Malfoy,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Draco Malfoy,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Draco Malfoy,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Ginny Weasley,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Ginny Weasley,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Ginny Weasley,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
